,0,type,num,molecule_ID,smiles,activity,pIC50
0,0,active,0,CHEMBL4062994,O=C(O)CNC(=O)c1cnn2c(O)cc(-c3ccccc3)nc12,Active,5.173925197299174
1,1,dec,0,,O=C(COC(=O)c1cc2cc(O)ncc2[nH]1)Nc1ccccn1,Inactive,
2,2,dec,1,,O=C(Nc1cccnc1)Nc1ccnc(Oc2cocc2O)c1,Inactive,
3,3,dec,2,,CNC(=O)C(=O)NCc1ccnc(Oc2ccc(N=O)cc2)c1,Inactive,
4,4,active,3,CHEMBL4580908,O=C1/C(=C/c2cc(OCc3cnc(Cl)nc3)c(O)cc2Br)Sc2ncccc21,Active,5.6020599913279625
5,5,active,4,CHEMBL4584409,CN1C(=O)S/C(=C\c2cc(OCc3cncnc3N)c(O)c(F)c2Br)C1=O,Active,5.0
6,6,inactive,4,83814131.0,C1=NN=CN1C2=NNC(=N2)C(=O)O,Inactive,4.524619406856639
7,7,active,5,CHEMBL4562426,CN1C(=O)S/C(=C\c2cc(OCc3ccnc4[nH]cnc34)c(O)cc2Br)C1=O,Active,5.0
8,8,inactive,5,5304665.0,C1=CC(=CC(=C1)NC(=O)C2=NC(=NN2)N3C=NN=C3)C(=O)O,Inactive,4.882728704344236
9,9,active,6,CHEMBL4555652,O=C1/C(=C/c2cc3nn[nH]c3cc2Br)Sc2ncccc21,Active,6.301029995663981
10,10,dec,6,,CNc1ncccc1NC(=O)C(=O)NC(=O)c1ccc(O)cc1,Inactive,
11,11,active,7,CHEMBL4473750,CN1C(=O)S/C(=C\c2cc(OCc3cnc(-n4cccn4)nc3)c(O)cc2Br)C1=O,Active,6.301029995663981
12,12,active,8,CHEMBL4459481,CN1C(=O)S/C(=C\c2cc3c(Cc4cnc(N)nc4)c[nH]c3cc2Br)C1=O,Active,5.0
13,13,active,9,CHEMBL4580933,CC(Oc1cc(/C=C2\SC(=O)N(C)C2=O)c(Br)c(F)c1O)c1cnc(N)nc1,Active,5.6020599913279625
14,14,active,10,CHEMBL4467372,CN1C(=O)S/C(=C\c2cc3oc(=O)[nH]c3cc2Br)C1=O,Active,5.0
15,15,dec,11,,CN(CC(=O)NO)C(=O)NC(=O)Nc1cccc2ccccc12,Inactive,
16,16,active,12,CHEMBL4444923,CN1C(=O)S/C(=C\c2cc3nn[nH]c3cc2Br)C1=O,Active,5.0
17,17,active,13,CHEMBL4454116,CCc1cc(/C=C2\SC(=O)N(C)C2=O)c(Br)cc1O,Active,6.301029995663981
18,18,active,14,CHEMBL4473599,CN1C(=O)S/C(=C\c2cc(OCCc3cnc(N)nc3)c(O)cc2Br)C1=O,Active,6.301029995663981
19,19,dec,15,,COC(=O)c1ccc(NC(=O)c2cccnc2CC(N)=O)cn1,Inactive,
20,20,active,15,CHEMBL4442425,CN1C(=O)S/C(=C\c2cc(OCc3ccnc(N)c3)c(O)cc2Br)C1=O,Active,6.301029995663981
21,21,active,18,CHEMBL4450087,COc1cc(/C=C2\SC(=O)N(C)C2=O)c(Cl)cc1O,Active,5.6020599913279625
22,22,dec,18,,CC(NC(=O)c1c[nH]nc1CO)c1ccc2c(c1)OCCO2,Inactive,
23,23,active,20,CHEMBL4456678,Cc1nc(N)ncc1COc1cc(/C=C2\Sc3ncccc3C2=O)c(Br)cc1O,Active,6.301029995663981
24,24,dec,20,,CCc1c(NC(=O)C(=O)Nc2ccccc2OC)nc[nH]c1=O,Inactive,
25,25,active,22,CHEMBL4534500,CN1C(=O)S/C(=C\c2cc3c(-c4cnc(N)nc4)c[nH]c3c(F)c2Br)C1=O,Active,5.6020599913279625
26,26,active,23,CHEMBL4574582,CN1C(=O)S/C(=C\c2cc3c(Cc4cnc(N)nc4)c[nH]c3c(F)c2Br)C1=O,Active,5.0
27,27,dec,23,,COc1ccccc1OCC(=O)NNC(=O)c1cc(C)n[nH]1,Inactive,
28,28,active,24,CHEMBL4525427,CN1C(=O)S/C(=C\c2ccc(O)cc2Br)C1=O,Active,5.0
29,29,active,26,CHEMBL4588539,CCOc1cc(/C=C2\SC(=O)N(C)C2=O)c(Br)cc1O,Active,5.6020599913279625
30,30,dec,26,,CCc1ncc(NC(=O)Nc2cccc(OC)c2OC)c(=O)[nH]1,Inactive,
31,31,active,27,CHEMBL4553894,COc1cc(/C=C2\Sc3ccccc3C2=O)c(Br)cc1O,Active,6.301029995663981
32,32,active,28,CHEMBL4578215,[2H]C([2H])(Oc1cc(/C=C2\SC(=O)N(C)C2=O)c(Br)cc1O)c1cnc(N)nc1,Active,5.0
33,33,active,29,CHEMBL4463528,CN1C(=O)S/C(=C\c2cc(OCc3cccnc3)c(O)cc2Br)C1=O,Active,5.6020599913279625
34,34,dec,30,,COc1ccccc1NC(=O)c1cc(NC(=O)C(N)=O)ccn1,Inactive,
35,35,active,30,CHEMBL4441843,COc1cc(/C=C2\Sc3ncccc3C2=O)c(Br)cc1O,Active,5.6020599913279625
36,36,active,31,CHEMBL4453077,COc1cc(/C=C2\SC(=O)N(C)C2=O)c(Br)cc1-c1nn[nH]n1,Active,5.0
37,37,active,32,CHEMBL4572350,[2H]C(C)(Oc1cc(/C=C2\SC(=O)N(C)C2=O)c(Br)c(F)c1O)c1cnc(N)nc1,Active,6.301029995663981
38,38,active,33,CHEMBL4435409,O=C1/C(=C/c2cc3oc(=O)[nH]c3cc2Br)Sc2ncccc21,Active,5.0
39,39,active,34,CHEMBL4445298,CN1C(=O)S/C(=C\c2cc3cc[nH]c3cc2Br)C1=O,Active,6.301029995663981
40,40,active,35,CHEMBL4459065,CC(Oc1cc(/C=C2\Sc3ncccc3C2=O)c(Br)cc1O)c1cnc(NCCO)nc1,Active,6.301029995663981
41,41,dec,35,,CC(CNC(=O)C1=CNCCC(=O)N1)N(C)C(=O)c1ccco1,Inactive,
42,42,active,36,CHEMBL4476601,CN1C(=O)S/C(=C\c2cc3cc[nH]c3c(F)c2Br)C1=O,Active,6.301029995663981
43,43,dec,37,,C=C1CN=C(CNC(=O)CNC(=O)Nc2ccccc2OC)O1,Inactive,
44,44,active,37,CHEMBL4466389,CN1C(=O)S/C(=C\c2cc(OCc3cnc(S)nc3)c(O)cc2Br)C1=O,Active,5.0
45,45,dec,39,,CC1=NOC(C(=O)NNc2cc(-c3ccc(C)o3)ccn2)C1,Inactive,
46,46,active,39,CHEMBL4541765,O=C1NC(=O)/C(=C/c2c[nH]cn2)S1,Active,5.0
47,47,active,40,CHEMBL4520777,CN1C(=O)S/C(=C\c2cc(OCc3cnc(O)nc3)c(O)cc2Br)C1=O,Active,5.0
48,48,active,41,CHEMBL4586128,CN1C(=O)S/C(=C\c2cc3c(-c4ccc(N)cc4)c[nH]c3cc2Br)C1=O,Active,6.301029995663981
49,49,active,42,CHEMBL4439892,CN1C(=O)S/C(=C\c2cc(OCc3cncnc3O)c(O)cc2Br)C1=O,Active,6.301029995663981
50,50,active,43,137319668.0,CC(CO)NC(=O)C1=CNN2C1=NC(=CC2=O)C3=CC=CC=C3,Active,5.091514981121351
51,51,active,44,137300622.0,C1CCC(C(C1)C(=O)O)NC(=O)C2=CNN3C2=NC(=CC3=O)C4=CC=CC=C4,Active,5.309803919971486
52,52,active,45,137635296.0,C1=CC=C(C=C1)C2=CC(=O)N3C(=N2)C(=CN3)C(=O)NCC(=O)O,Active,5.173925197299174
53,53,active,46,140896928.0,CN1C(=O)C(=CC2=CC(=C(C=C2Br)O)OCC3=CN=C(N=C3)S(=O)C)SC1=O,Active,5.6020599913279625
54,54,active,47,140897037.0,CS(=O)C1=NC=C(C=N1)COC2=C(C(=C(C(=C2)C=C3C(=O)C4=C(S3)N=CC=C4)Br)F)O,Active,5.6020599913279625
55,55,active,48,140897034.0,CN1C(=C(SC1=O)C=C2C=C3C(=CN=C3C(=C2Br)F)C4=CN=C(N=C4)N)O,Active,5.6020599913279625
56,56,active,49,140897122.0,CN1C(=C(SC1=O)C=C2C=C3C(=NC=C3C4=CC=C(C=C4)N)C=C2Br)O,Active,6.301029995663981
57,57,active,50,140897197.0,CN1C(=C(SC1=O)C=C2C=C3C=CN=C3C=C2Br)O,Active,6.301029995663981
58,58,active,51,140897210.0,CS(=O)C1=NC=C(C=N1)COC2=C(C=C(C(=C2)C=C3C(=O)C4=C(S3)N=CC=C4)Br)O,Active,5.6020599913279625
59,59,active,52,135397653.0,CC1=C(C(=O)N(N1)C2=NC3=C(N2)C=CC(=C3Cl)Cl)C4C5=CC=CC=C5C(=O)O4,Active,5.531652669587843
60,60,active,53,5304669.0,C1CCC2=C(C1)C(=C(S2)NC(=O)C3=NC(=NN3)N4C=NN=C4)C#N,Active,5.309803919971486
61,61,active,54,2960108.0,CC1=C(C(=O)N(N1)C2=NC3=CC=CC=C3N2)C4C5=CC=CC=C5C(=O)O4,Active,5.723538195826756
62,62,active,55,781403.0,C1CCN(CC1)C2=NC(=C(S2)C3=C4C=CC=CC4=NC3=O)O,Active,7.522878745280337
